index,name,imdb_url,screentime,episodes,portrayed_by_name,portrayed_by_imdb_url
41,Robert Baratheon,http://www.imdb.com/character/ch0155776/,30.3,7,Mark Addy,http://www.imdb.com/name/nm0004692/
42,Roose Bolton,http://www.imdb.com/character/ch0305006/,30.15,19,Michael McElhatton,http://www.imdb.com/name/nm0568385/
43,Osha,http://www.imdb.com/character/ch0295802/,29.45,16,Natalia Tena,http://www.imdb.com/name/nm1164730/
44,Eddison Tollett,http://www.imdb.com/character/ch0305008/,29.15,29,Ben Crompton,http://www.imdb.com/name/nm0174005/
45,Hodor,http://www.imdb.com/character/ch0238584/,29.0,23,Kristian Nairn,http://www.imdb.com/name/nm3964231/
46,Gendry,http://www.imdb.com/character/ch0300040/,28.45,17,Joe Dempsie,http://www.imdb.com/name/nm1478079/
47,Oberyn Martell,http://www.imdb.com/character/ch0392307/,28.3,7,Pedro Pascal,http://www.imdb.com/name/nm0050959/
48,Yara Greyjoy,http://www.imdb.com/character/ch0300217/,27.0,12,Gemma Whelan,http://www.imdb.com/name/nm2247629/
49,Meera Reed,http://www.imdb.com/character/ch0316928/,27.0,13,Ellie Kendrick,http://www.imdb.com/name/nm1697771/
50,Jaqen H'ghar,http://www.imdb.com/character/ch0259179/,26.3,18,Tom Wlaschiha,http://www.imdb.com/name/nm0937239/
51,Alliser Thorne,http://www.imdb.com/character/ch0246938/,26.0,19,Owen Teale,http://www.imdb.com/name/nm0853583/
52,Khal Drogo,http://www.imdb.com/character/ch0171388/,25.0,10,Jason Momoa,http://www.imdb.com/name/nm0597388/
53,Renly Baratheon,http://www.imdb.com/character/ch0246253/,24.0,8,Gethin Anthony,http://www.imdb.com/name/nm2167445/
54,Maester Luwin,http://www.imdb.com/character/ch0171393/,23.3,13,Donald Sumpter,http://www.imdb.com/name/nm0838910/
55,Ros,http://www.imdb.com/character/ch0010187/,21.45,14,Esmé Bianco,http://www.imdb.com/name/nm2657974/
56,Grenn,http://www.imdb.com/character/ch0251496/,21.15,22,Mark Stanley,http://www.imdb.com/name/nm4440305/
57,Mance Rayder,http://www.imdb.com/character/ch0335039/,21.0,5,Ciarán Hinds,http://www.imdb.com/name/nm0001354/
58,Jeor Mormont,http://www.imdb.com/character/ch0251492/,21.0,12,James Cosmo,http://www.imdb.com/name/nm0181920/
